tweet_id,cleaned_text,text,topic,topic_str,topic_sortedc_str
1598181314141646849,They’ve done something that causes #ChatGPT to invent the chain-of-thought required for a particular question. (Full answer in alt-text.) ,They’ve done something that causes #ChatGPT to invent the chain-of-thought required for a particular question. (Full answer in alt-text.) https://t.co/04ePYM1ZQU,"['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598314685484470279,How to use riverpod in #flutter by #chatgpt ,How to use riverpod in #flutter by #chatgpt https://t.co/bETtTkSkmz,"['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598294762767151104,"Would be cool to be able to say ""#ChatGPT sucks"" ... ""it can't answer my &lt;insert_weirdest_question&gt;"", and sound clever 🤓

But let's be honest, it has almost no flaws. It can answer most questions so well. Even tricking it is hard

Plus, the path for improvement is very clear","Would be cool to be able to say ""#ChatGPT sucks"" ... ""it can't answer my &lt;insert_weirdest_question&gt;"", and sound clever 🤓

But let's be honest, it has almost no flaws. It can answer most questions so well. Even tricking it is hard

Plus, the path for improvement is very clear","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598390120582971392,"Unpopular opinion:
There is nothing ""unsafe"" about #chatGPT and what they call ""safety features"" should be named more honestly ""censorship features"" or ""political correctness"" features. There is nothing unsafe about telling people how to hotwire cars or what happened in 1989","Unpopular opinion:
There is nothing ""unsafe"" about #chatGPT and what they call ""safety features"" should be named more honestly ""censorship features"" or ""political correctness"" features. There is nothing unsafe about telling people how to hotwire cars or what happened in 1989","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598206216525725697,"I repeat: Easily produced science text that's wrong does not advance science, improve science productivity, or make science more accessible. I like research on LLMs but the blind belief in their goodness does a disservice to them and science. Here is an example from #ChatGPT 1/5 ","I repeat: Easily produced science text that's wrong does not advance science, improve science productivity, or make science more accessible. I like research on LLMs but the blind belief in their goodness does a disservice to them and science. Here is an example from #ChatGPT 1/5 https://t.co/h8zVVX7jBO","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598416098810302464,"😅 what a nice prompt and not ominous at all

 #OpenAI #ChatGPT #AI ","😅 what a nice prompt and not ominous at all

 #OpenAI #ChatGPT #AI https://t.co/gpq643nNww","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598305508112449539,"Another #AI experiment: asking #ChatGPT for creative furnishing ideas and then pasting the descriptions (for 1, 3 + 6) into #midjourneyV4.

WHOOOSH. 🤩 ","Another #AI experiment: asking #ChatGPT for creative furnishing ideas and then pasting the descriptions (for 1, 3 + 6) into #midjourneyV4.

WHOOOSH. 🤩 https://t.co/nwCBDfdHEg","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598298494024159232,"Okay, #ChatGPT not only creates problems for student take-home assignments, but also for research grant agencies. Just check-out this brilliant proposal. The important question then becomes: How can we ever still be sure that a human/applicant wrote it and not the AI-machine? ","Okay, #ChatGPT not only creates problems for student take-home assignments, but also for research grant agencies. Just check-out this brilliant proposal. The important question then becomes: How can we ever still be sure that a human/applicant wrote it and not the AI-machine? https://t.co/UKZZLxgLF2","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598384950579179521,"Frankly #ChatGPT makes me so sad and disillusioned with NLP research. 

It's not the model not being available; it's not the fact that is trained on unknown data and methods; it's not the clear commercial priorities and marketing. 

But the combo of all three is such a blow 😔","Frankly #ChatGPT makes me so sad and disillusioned with NLP research. 

It's not the model not being available; it's not the fact that is trained on unknown data and methods; it's not the clear commercial priorities and marketing. 

But the combo of all three is such a blow 😔","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598376957535784982,"For all of the MS-4s who struggled for weeks to write their personal statements for ERAS, let us mourn that AI can now write one in about 10 seconds. I'd give this one a solid B.

#ChatGPT ","For all of the MS-4s who struggled for weeks to write their personal statements for ERAS, let us mourn that AI can now write one in about 10 seconds. I'd give this one a solid B.

#ChatGPT https://t.co/tBZw6ZrZD8","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598333315764871174,"""Write a @montypython sketch about @ylecun, @geoffreyhinton and Yoshua Bengio""
#ChatGPT ","""Write a @montypython sketch about @ylecun, @geoffreyhinton and Yoshua Bengio""
#ChatGPT https://t.co/2eqiKrrhba","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598291946870829056,"Gather around the campfire, kids. 🏕️🔥 This one's a little diddy 'bout #IOTA from an AI friend of mine. 

#ChatGPT ","Gather around the campfire, kids. 🏕️🔥 This one's a little diddy 'bout #IOTA from an AI friend of mine. 

#ChatGPT https://t.co/BUqCGxtpZ4","['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
1598445593072128000,I can write a better one but I've read worse ones...#ChatGPT ,I can write a better one but I've read worse ones...#ChatGPT https://t.co/hbhRkwDNye,"['chatgpt', 'asked', 'write', 'openai', 'using']",chatgpt asked write openai using,asked chatgpt openai using write
